N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
128,13:50:00,20230201,578106878,619.5,-0.5617977528089888,590,605,583,600,17,10.39453125,0,1.25781250000002,-1,-1,1,
129,14:00:00,20230201,578106878,623,0,590.15,607.15,583,600,17,10.445736434108527,1,1.2480620155039,0,-1,1,
130,14:10:00,20230201,578106878,623,0,590,608.5,584.5,604.5,20,10.496153846153845,0,1.24615384615387,-1,-1,1,
131,14:20:00,20230201,578106878,623,0,590,608.5,584.5,604.5,20,10.568702290076335,0,1.23664122137407,-1,-1,1,
132,14:30:00,20230201,578106878,623,0,590,608.5,584.5,605,20.5,10.640151515151514,0,1.22727272727275,-1,-1,1,
133,14:40:00,20230201,578106878,623,0,590,608.5,584.5,605,20.5,10.714285714285714,2,1.21804511278198,1,-1,1,
134,14:50:00,20230201,578106878,623,0,591,608.5,584.5,608,23.5,10.78731343283582,0,1.22388059701495,-1,-1,1,
135,15:00:00,20230201,578106878,608,-2.4077046548956664,600,608.5,583.5,608,24.5,10.88148148148148,1,1.21481481481484,0,-1,0,
136,09:30:00,20230202,578106878,601,-3.5313001605136436,583.1,610.35,600,608.5,8.5,10.98161764705882,0,1.21323529411767,-1,0,0,
137,09:40:00,20230202,578106878,601,-3.5313001605136436,583.5,608,600,608.5,8.5,10.963503649635033,0,1.20437956204382,-1,0,0,
138,09:50:00,20230202,578106878,601.5,-3.451043338683788,583.85,608,600,608.5,8.5,10.94565217391304,6,1.19565217391307,1,0,0,
139,10:00:00,20230202,578106878,601.5,-3.451043338683788,584.5,605.55,590,608.5,18.5,10.928057553956831,0,1.23021582733816,-1,-1,0,
140,10:10:00,20230202,578106878,601.5,-3.451043338683788,584.5,605,590,608.5,18.5,10.982142857142854,0,1.2214285714286,-1,-1,0,
141,10:20:00,20230202,578106878,601.5,-3.451043338683788,584.5,604.8,590,608.5,18.5,11.0354609929078,0,1.21276595744684,-1,-1,0,
142,10:30:00,20230202,578106878,601.5,-3.451043338683788,584.5,604.5,590,608.5,18.5,11.088028169014082,0,1.20422535211271,-1,-1,0,
143,10:40:00,20230202,578106878,601.5,-3.451043338683788,583.35,600.7,590,608.5,18.5,11.139860139860138,0,1.19580419580423,-1,-1,1,
144,10:50:00,20230202,578106878,601.5,-3.451043338683788,583,600,590,605,15,11.19097222222222,0,1.18750000000003,-1,0,1,
145,11:00:00,20230202,578106878,601.5,-3.451043338683788,583,603.15,590,605,15,11.217241379310343,0,1.17931034482762,-1,0,0,
146,11:10:00,20230202,578106878,601.5,-3.451043338683788,586.65,609.95,590,605,15,11.243150684931505,0,1.17123287671236,-1,0,0,
147,11:20:00,20230202,578106878,601.5,-3.451043338683788,596.5,610,585.5,603.5,18,11.268707482993195,0,1.16326530612248,-1,-1,0,
148,11:30:00,20230202,578106878,601.5,-3.451043338683788,596.5,610,580,603.5,23.5,11.314189189189186,0,1.15540540540544,-1,-1,0,
149,11:40:00,20230202,578106878,601.5,-3.451043338683788,596.5,610,577.5,605,27.5,11.395973154362412,0,1.14765100671144,-1,-1,0,
150,11:50:00,20230202,578106878,601.5,-3.451043338683788,587.35,610,592,605,13,11.50333333333333,0,1.14000000000003,-1,0,0,
151,12:00:00,20230202,578106878,601.5,-3.451043338683788,583,610,592,605,13,11.513245033112579,2,1.13245033112586,1,0,0,
152,12:10:00,20230202,578106878,601.5,-3.451043338683788,583,610,592,605,13,11.52302631578947,0,1.13815789473687,-1,0,0,
153,12:20:00,20230202,578106878,601.5,-3.451043338683788,583,610,592,605,13,11.532679738562088,0,1.13071895424839,-1,0,0,
154,12:30:00,20230202,578106878,601.5,-3.451043338683788,583.15,610,594,601.5,7.5,11.542207792207789,0,1.12337662337665,-1,0,0,
155,12:40:00,20230202,578106878,601.5,-3.451043338683788,583.5,610,573,601,28,11.51612903225806,0,1.11612903225809,-1,-1,0,
156,12:50:00,20230202,578106878,601.5,-3.451043338683788,583.5,610.75,573,601,28,11.621794871794867,0,1.10897435897438,-1,-1,0,
157,13:00:00,20230202,578106878,601.5,-3.451043338683788,583.5,614,573,601,28,11.726114649681525,0,1.1019108280255,-1,-1,0,
158,13:10:00,20230202,578106878,605,-2.889245585874799,583.5,614,573,601,28,11.82911392405063,4,1.09493670886078,1,-1,0,
159,13:20:00,20230202,578106878,605,-2.889245585874799,583.5,612.6,573,601.5,28.5,11.93081761006289,0,1.11320754716983,-1,-1,0,
160,13:30:00,20230202,578106878,605,-2.889245585874799,583.5,605,573,601.5,28.5,12.034374999999997,0,1.10625000000002,-1,-1,0,
161,13:40:00,20230202,578106878,605,-2.889245585874799,583.5,605,597,601.5,4.5,12.136645962732917,2,1.0993788819876,1,1,0,
162,13:50:00,20230202,578106878,605,-2.889245585874799,583.5,605,573,601.5,28.5,12.089506172839505,0,1.10493827160496,-1,-1,0,
163,14:00:00,20230202,578106878,605,-2.889245585874799,583.5,605,573,601.5,28.5,12.190184049079754,0,1.09815950920248,-1,-1,0,
164,14:10:00,20230202,578106878,605,-2.889245585874799,583.5,605,590,601.5,11.5,12.289634146341463,0,1.09146341463417,-1,0,0,
165,14:20:00,20230202,578106878,605,-2.889245585874799,583.5,605,590,601.5,11.5,12.284848484848485,0,1.08484848484851,-1,0,0,
166,14:30:00,20230202,578106878,605,-2.889245585874799,583.5,604.25,598.5,601.5,3,12.28012048192771,0,1.07831325301207,-1,1,1,
167,14:40:00,20230202,578106878,605,-2.889245585874799,588.35,601,601,608.5,7.5,12.224550898203592,0,1.07185628742517,-1,0,1,
168,14:50:00,20230202,578106878,605,-2.889245585874799,584.8,598,601,609,8,12.196428571428571,0,1.06547619047621,-1,0,1,
169,15:00:00,20230202,578106878,605,-2.889245585874799,583.5,595.8,601,609,8,12.171597633136095,0,1.05917159763316,-1,0,1,
170,14:30:00,20230203,578106878,590,-5.296950240770466,584.3,595,601,609,8,12.147058823529411,4,1.05294117647061,1,0,0,
171,14:40:00,20230203,578106878,590,-5.296950240770466,585.95,598,601,609,8,12.122807017543858,0,1.07017543859651,-1,0,0,
172,14:50:00,20230203,578106878,590,-5.296950240770466,576.4,593.15,603,608,5,12.098837209302324,0,1.06395348837211,-1,1,0,
173,15:00:00,20230203,578106878,590,-5.296950240770466,574.1,593.2,604,611,7,12.05780346820809,0,1.05780346820811,-1,0,0,
174,09:30:00,20230206,578106878,577,-7.3836276083467105,574.6,581.05,621,623,2,12.028735632183906,1,1.05172413793105,0,1,0,
175,09:40:00,20230206,578106878,577,-7.3836276083467105,572.5,579.4,621,623.5,2.5,11.97142857142857,0,1.05142857142859,-1,1,0,
176,09:50:00,20230206,578106878,577,-7.3836276083467105,573.5,578.1,614,623.5,9.5,11.917613636363635,0,1.04545454545456,-1,0,0,
177,10:00:00,20230206,578106878,577,-7.3836276083467105,573.5,578.85,614,623.5,9.5,11.903954802259884,0,1.03954802259888,-1,0,0,
178,10:10:00,20230206,578106878,579.5,-6.982343499197431,573.6,578.5,621,623,2,11.890449438202245,3,1.03370786516855,1,1,1,BUY
179,10:20:00,20230206,578106878,579.5,-6.982343499197431,573.5,579.5,620,623,3,11.835195530726255,0,1.04469273743018,-1,1,0,
180,10:30:00,20230206,578106878,579.5,-6.982343499197431,575.9,589.25,619.5,623,3.5,11.78611111111111,2,1.0388888888889,1,1,0,
181,10:40:00,20230206,578106878,579.5,-6.982343499197431,578,583.95,614,623,9,11.740331491712706,0,1.04419889502764,-1,0,0,
182,10:50:00,20230206,578106878,579.5,-6.982343499197431,577.55,588.1,613.5,622,8.5,11.725274725274723,0,1.03846153846155,-1,0,0,
183,11:00:00,20230206,578106878,579.5,-6.982343499197431,577.6,590.75,614,622.5,8.5,11.707650273224042,0,1.03278688524591,-1,0,0,
184,11:10:00,20230206,578106878,579.5,-6.982343499197431,579.5,586.1,616,623.5,7.5,11.690217391304344,0,1.02717391304349,-1,0,0,
185,11:20:00,20230206,578106878,579.5,-6.982343499197431,579.5,585.4,620.5,623.5,3,11.667567567567565,0,1.02162162162163,-1,1,0,
186,11:30:00,20230206,578106878,579.5,-6.982343499197431,579.5,591.7,616.5,623.5,7,11.62096774193548,0,1.01612903225807,-1,0,0,
187,11:40:00,20230206,578106878,579.5,-6.982343499197431,579.5,591,616.5,623.5,7,11.596256684491975,0,1.01069518716578,-1,0,0,
188,11:50:00,20230206,578106878,579.5,-6.982343499197431,579.5,588.95,616.5,623.5,7,11.571808510638293,0,1.00531914893617,-1,0,0,
189,12:00:00,20230206,578106878,579.5,-6.982343499197431,579.5,587.45,621,623.5,2.5,11.547619047619042,0,1.0,-1,1,0,
190,12:10:00,20230206,578106878,579.5,-6.982343499197431,579.5,586.55,621,623.5,2.5,11.499999999999995,0,0.994736842105263,-1,1,0,
191,12:20:00,20230206,578106878,579.5,-6.982343499197431,579.5,586.5,621,623.5,2.5,11.452879581151828,0,0.989528795811518,-1,1,0,
192,12:30:00,20230206,578106878,579.5,-6.982343499197431,579.5,586.25,621,623.5,2.5,11.406249999999996,0,0.984375,-1,1,0,
193,12:40:00,20230206,578106878,579.5,-6.982343499197431,579.5,585.3,604.5,623.5,19,11.360103626943001,0,0.979274611398964,-1,-1,0,
194,12:50:00,20230206,578106878,579.5,-6.982343499197431,579.5,585.5,603,623.5,20.5,11.39948453608247,0,0.974226804123712,-1,-1,0,
195,13:00:00,20230206,578106878,579.5,-6.982343499197431,579.5,586.05,603,623.5,20.5,11.446153846153841,0,0.96923076923077,-1,-1,0,
